slno	concept_id	concepticon_id	concepticon_name	name	gloss	concept	stage	comment	category	definition	japanese	hindi	assamese	mandarin	burmese	nagamese	SILCAWL	CALMSEA
61	0001.:one	1493	ONE	one	one	ᴏɴᴇ	2		numbers	The number that comes after zero and before two.	一	एक	এক	一	တစ်		one (person)	one
97	0002.:two	1498	TWO	two	two	ᴛᴡᴏ	2		numbers	The number that comes after one and before three.	二	दो	দুই	二	နှစ်		two (persons)	two
76	0003.:three	492	THREE	three	three	ᴛʜʀᴇᴇ	2		numbers	The number that comes after two and before four.	三	तीन	তিনি	三	သုံး		three (persons)	three
54	0004.:four	1500	FOUR	four	four	ꜰᴏᴜʀ	2		numbers	The number that comes after three and before five.	四	चार	চাৰি	四	လေး		four (persons)	four
53	0005.:five	493	FIVE	five	five	ꜰɪᴠᴇ	2		numbers	The number that comes after four and before six.	五	पांच	পাঁচ	五	ငါး		five (persons)	five
68	0006.:six	1703	SIX	six	six	ꜱɪx	2		numbers	The number that comes after five and before seven.	六	छह	ছয়	六	ခြောက်ခဲ့သည်		six (persons)	six
67	0007.:seven	1704	SEVEN	seven	seven	ꜱᴇᴠᴇɴ	2		numbers	The number that comes after six and before eight.	七	सात	সাত	七	ခုနှစ်		seven (persons)	seven
50	0008.:eight	1705	EIGHT	eight	eight	ᴇɪɢʜᴛ	2		numbers	The number that comes after seven and before nine.	八	आठ	আঠ	八	ရှစ်		weight	eight
59	0009.:nine	1483	NINE	nine	nine	ɴɪɴᴇ	2		numbers	The number that comes after eight and before ten.	九	नौ	নৱ	九	ကိုး		nine (persons)	nine
19	0010.:ten	1515	TEN	ten	ten	ᴛᴇɴ	1		numbers	The number that comes after nine and before eleven.	十	दस	দহ	十	ဆယ်		ten (persons)	ten
345	0020.:twenty	1710	TWENTY	twenty	twenty	ᴛᴡᴇɴᴛʏ	3		numbers	The number that comes after nineteen and before twenty-one.		बीस	বিশ	二十	ပိသျှတ်		twenty (persons)	twenty/score
157	0100.:hundred	1634	HUNDRED	hundred	hundred	ʜᴜɴᴅʀᴇᴅ	3		numbers	The number that comes after ninety-nine and before one hundred and one.		सौ	শত	百	ရာ		hundred (persons)	hundred
31	1.du	2634	WE TWO	1 du	1.du	1.ᴅᴜ	2		pronouns	The speaker and one other person.								
32	1.n.sg.excl	1130	WE (EXCLUSIVE)	1 n sg excl	1.n.sg.excl	1.ɴ.ꜱɢ.ᴇxᴄʟ	2		pronouns	The speaker and one other person, but not the person being spoken to.					ကျွန်တစ်ဦးတည်းနှင့်တကွ			
33	1.n.sg.incl	1131	WE (INCLUSIVE)	1 n sg incl	1.n.sg.incl	1.ɴ.ꜱɢ.ɪɴᴄʟ	2		pronouns	A group of people that includes the speaker and one or more other people.					ကျွန်မှာတော့			
34	1.sg	1209	I	1 sg	1.sg	1.ꜱɢ	2		pronouns	The person who is speaking.	わたし						I (1s)	I
221	1000.:thousand	1843	THOUSAND	thousand	thousand	ᴛʜᴏᴜꜱᴀɴᴅ	3		numbers	The number 1,000.		हजार	হাজাৰ	千	ထောင်		thousand (persons)	
35	2.n.sg	1213	YOU	2 n sg	2.n.sg	2.ɴ.ꜱɢ	2		pronouns	The person or people being spoken to.	おまえたち				သင့်တော်တို့		you (2p)	
36	2.sg	1215	THOU	2 sg	2.sg	2.ꜱɢ	2		pronouns	A person being spoken to, who is not the speaker.	おまえ						you (2s)	thou
37	3.n.sg	817	THEY	3 n sg	3.n.sg	3.ɴ.ꜱɢ	2		pronouns	A group of people or things that does not include the speaker or the listener.	彼ら，彼女ら				သူတို့		they (3p)	
38	3.sg	262	HE OR SHE OR IT	3 sg	3.sg	3.ꜱɢ	2		pronouns	A person or thing that is not the speaker or the listener.	彼，彼女							
229	above:to.be	1741	ABOVE	to be above	above	ᴀʙᴏᴠᴇ	3			To be in a higher position or at a higher level than something else, without necessarily touching it.		ऊपर	উপৰ	上面	အထက်		over, above	
